OWNER,CONSTRAINT_NAME,TABLE_NAME,COLUMN_NAME,POSITION
SYSTEM,SYS_C008701,ALM_DETAMOVI,ARTL_ARTICULO,
SYSTEM,SYS_C008702,ALM_DETAMOVI,PROMOCION,
SYSTEM,SYS_C008703,ALM_DETAMOVI,PRORATEO,
SYSTEM,SYS_C008704,ALM_DETAMOVI,VALDESC,
SYSTEM,SYS_C008705,ALM_DETAMOVI,COMBO,
SYSTEM,SYS_C008712,ALM_DETAMOVI_BK,ENTRSALI,
SYSTEM,SYS_C008713,ALM_DETAMOVI_BK,DTMV_ID,
SYSTEM,SYS_C008714,ALM_DETAMOVI_BK,UMED_UNIDMEDI,
SYSTEM,SYS_C008715,ALM_DETAMOVI_BK,VALOR,
SYSTEM,SYS_C008716,ALM_DETAMOVI_BK,CANTIDAD,
SYSTEM,SYS_C008717,ALM_DETAMOVI_BK,PRECUNIT,
SYSTEM,SYS_C008718,ALM_DETAMOVI_BK,COSTUNIT,
SYSTEM,SYS_C008719,ALM_DETAMOVI_BK,USUACREA,
SYSTEM,SYS_C008720,ALM_DETAMOVI_BK,FECHCREA,
SYSTEM,SYS_C008721,ALM_DETAMOVI_BK,SECC_CODIBODE,
SYSTEM,SYS_C008722,ALM_DETAMOVI_BK,SECC_COMPANIA,
SYSTEM,SYS_C008723,ALM_DETAMOVI_BK,SECC_CODISECC,
SYSTEM,SYS_C008724,ALM_DETAMOVI_BK,SECC_OFICINA,
SYSTEM,SYS_C008725,ALM_DETAMOVI_BK,ARTL_CODIGRUP,
SYSTEM,SYS_C008726,ALM_DETAMOVI_BK,ARTL_CLASE,
SYSTEM,SYS_C008727,ALM_DETAMOVI_BK,ARTL_COMPANIA,
SYSTEM,SYS_C008728,ALM_DETAMOVI_BK,ARTL_ARTICULO,
SYSTEM,SYS_C008729,ALM_DETAMOVI_BK,PROMOCION,
SYSTEM,SYS_C008730,ALM_DETAMOVI_BK,PRORATEO,
SYSTEM,SYS_C008731,ALM_DETAMOVI_BK,VALDESC,
SYSTEM,DTPL_PK_1,ALM_DETAPLAN,DTPL_ID,1
SYSTEM,DTPL_PLIM_FK,ALM_DETAPLAN,PLIM_CODIGO,1
SYSTEM,SYS_C008732,ALM_DETAPLAN,PLIM_CODIGO,
SYSTEM,SYS_C008733,ALM_DETAPLAN,DTPL_ID,
SYSTEM,SYS_C008734,ALM_DETAPLAN,CANTIDAD,
SYSTEM,SYS_C008735,ALM_DETAPLAN,USUACREA,
SYSTEM,SYS_C008736,ALM_DETAPLAN,FECHCREA,
SYSTEM,DPRO_PK,ALM_DETAPROY,DPRO_ID,1
SYSTEM,DPRO_PRPD_FK,ALM_DETAPROY,PRPD_PRPD_ID,1
SYSTEM,SYS_C008739,ALM_DETAPROY,DPRO_ID,
SYSTEM,SYS_C008740,ALM_DETAPROY,NUMEPARA,
SYSTEM,SYS_C008741,ALM_DETAPROY,FECHCREA,
SYSTEM,SYS_C008742,ALM_DETAPROY,USUACREA,
SYSTEM,SYS_C008743,ALM_DETAPROY,ARTL_CLASE,
SYSTEM,SYS_C008744,ALM_DETAPROY,ARTL_CODIGRUP,
SYSTEM,SYS_C008745,ALM_DETAPROY,ARTL_ARTICULO,
SYSTEM,SYS_C008746,ALM_DETAPROY,ARTL_COMPANIA,
SYSTEM,SYS_C008747,ALM_DETAPROY,RCTA_RCTA_ID,
SYSTEM,SYS_C008748,ALM_DETAPROY,PRPD_PRPD_ID,
SYSTEM,DREQ_PK,ALM_DETAREQU,DREQ_ID,1
SYSTEM,DREQ_REQU_FK,ALM_DETAREQU,REQU_NUMERO,1
SYSTEM,DREQ_REQU_FK,ALM_DETAREQU,REQU_COMPANIA,2
SYSTEM,DREQ_REQU_FK,ALM_DETAREQU,REQU_OFICINA,3
SYSTEM,DREQ_REQU_FK,ALM_DETAREQU,REQU_TIPODOCU,4
SYSTEM,DREQ_SECC_FK,ALM_DETAREQU,SECC_COMPANIA,1
SYSTEM,DREQ_SECC_FK,ALM_DETAREQU,SECC_OFICINA,2
SYSTEM,DREQ_SECC_FK,ALM_DETAREQU,SECC_CODIBODE,3
