OWNER,TABLE_NAME,COLUMN_NAME,COMMENTS
SYSTEM,AFJ_DETALLE,OBS,
SYSTEM,AFJ_DETALLE,USUACREA,
SYSTEM,AFJ_DETALLE,USUACTUA,
SYSTEM,ALM_DETABASC,DESCRIPC,
SYSTEM,ALM_DETABASC,DTBA_ID,
SYSTEM,ALM_DETABASC,FECHACTU,
SYSTEM,ALM_DETABASC,FECHCREA,
SYSTEM,ALM_DETABASC,FECHINGRE,
SYSTEM,ALM_DETABASC,FECHSALE,
SYSTEM,ALM_DETABASC,NUMEGUIA,
SYSTEM,ALM_DETABASC,ORCP_COMPANIA,
SYSTEM,ALM_DETABASC,ORCP_NUMEORDE,
SYSTEM,ALM_DETABASC,ORCP_OFICINA,
SYSTEM,ALM_DETABASC,PESOINGR,
SYSTEM,ALM_DETABASC,PESOSALE,
SYSTEM,ALM_DETABASC,PESOTARA,
SYSTEM,ALM_DETABASC,PRFM_PRFM_ID,
SYSTEM,ALM_DETABASC,PROCEDEN,
SYSTEM,ALM_DETABASC,UMED_UNIDMEDI,
SYSTEM,ALM_DETABASC,USUACREA,
SYSTEM,ALM_DETABASC,USUACTUA,
SYSTEM,ALM_DETABASC,VALOPESO,
SYSTEM,ALM_DETADESP,COMPANIA,
SYSTEM,ALM_DETADESP,CSTOFLET,
SYSTEM,ALM_DETADESP,DESTINO,
SYSTEM,ALM_DETADESP,DSPO_NUMERO,
SYSTEM,ALM_DETADESP,DTPS_ID,
SYSTEM,ALM_DETADESP,EGEN_ESTADO,
SYSTEM,ALM_DETADESP,FACTURA,
SYSTEM,ALM_DETADESP,FECHACTU,
SYSTEM,ALM_DETADESP,FECHCREA,
SYSTEM,ALM_DETADESP,FFACTURA,
SYSTEM,ALM_DETADESP,IDCLIENTE,
SYSTEM,ALM_DETADESP,NOMBRE,
SYSTEM,ALM_DETADESP,NUMBER1,
SYSTEM,ALM_DETADESP,NUMBER2,
SYSTEM,ALM_DETADESP,NUMBER3,
SYSTEM,ALM_DETADESP,NUMBER4,
