CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_DAST_FK,1,DAST_DAST_ID,SYSTEM,CNT_DETASIENTO,DAST_ID,NO ACTION,ENABLED
SYSTEM,CNT_DETIPIMP,DTIP_TPIM_FK,1,TPIM_TIPOIMPU,SYSTEM,CNT_TIPOIMPU,TIPOIMPU,NO ACTION,ENABLED
SYSTEM,COB_DETACHEQ,DCHE_CHQE_FK,1,CHQE_CHQE_ID,SYSTEM,CAJ_CHEQUES,CHQE_ID,NO ACTION,ENABLED
SYSTEM,COB_DETACHEQ,DCHE_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COB_DETACHEQ,DCHE_PLCB_FK,1,PLCB_PLCB_ID,SYSTEM,VEN_PLANCOBR,PLCB_ID,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,1,NCCL_COMPANIA,SYSTEM,VEN_NOTACRED,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,2,NCCL_OFICINA,SYSTEM,VEN_NOTACRED,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,3,NCCL_SERIE,SYSTEM,VEN_NOTACRED,SERIE,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,4,NCCL_NUMERO,SYSTEM,VEN_NOTACRED,NUMERO,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_PLCB_FK,1,PLCB_PLCB_ID,SYSTEM,VEN_PLANCOBR,PLCB_ID,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_PTBN_FK,1,PTBN_NUMEOPER,SYSTEM,PRT_TRANSBANCA,NUMEOPER,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_RCCB_FK,1,RCCB_NUMERO,SYSTEM,COB_RECICOBR,NUMERO,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_VNDR_FK,1,VNDR_COMPANIA,SYSTEM,VEN_VENDCOBR,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_VNDR_FK,2,VNDR_OFICINA,SYSTEM,VEN_VENDCOBR,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_VNDR_FK,3,VNDR_CODIGO,SYSTEM,VEN_VENDCOBR,CODIGO,NO ACTION,ENABLED
SYSTEM,COB_DETADEBI,DDEB_OTRC_FK,1,OTRC_OTRC_ID,SYSTEM,COB_OTRODEBI,OTRC_ID,NO ACTION,ENABLED
SYSTEM,COM_DETASOLI,DSOL_DTMV_FK,1,DTMV_DTMV_ID,SYSTEM,ALM_DETAMOVI,DTMV_ID,NO ACTION,ENABLED
SYSTEM,COM_DETASOLI,DSOL_SCOM_FK,1,SCOM_SCOM_ID,SYSTEM,COM_SOLICOMP,SCOM_ID,NO ACTION,ENABLED
SYSTEM,COM_PLANPAGO,PPAG_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COM_PLANPAGO,PPAG_OTRS_FK,1,OTRS_OTRS_ID,SYSTEM,PAG_OTRSCTAS,OTRS_ID,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_INCN_FK,1,INCN_COMPANIA,SYSTEM,CNT_INTECONT,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_INCN_FK,2,INCN_PRODUCTO,SYSTEM,CNT_INTECONT,PRDT_PRODUCTO,NO ACTION,ENABLED
