CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN
SYSTEM,COM_TMPCOMPRAS,CXML_TPPG_FK,1,TPPG_CODIGO,SYSTEM,GEN_TIPOPAGO,CODIGO
SYSTEM,CST_COSTADIC,CADC_OPRD_FK,1,OPRD_NUMERO,SYSTEM,CST_ORDEPROD,NUMERO
SYSTEM,CST_COSTADIC,CADC_OPRD_FK,2,OPRD_COMPANIA,SYSTEM,CST_ORDEPROD,OFCN_COMPANIA
SYSTEM,CST_COSTADIC,CADC_OPRD_FK,3,OPRD_OFICINA,SYSTEM,CST_ORDEPROD,OFCN_OFICINA
SYSTEM,CST_DETARECT,DTRC_RCTA_FK,1,RCTA_ID,SYSTEM,CST_RECETA,RCTA_ID
SYSTEM,CST_DETCENCS,DTCC_LTPR_FK,1,LTPR_CODIGO,SYSTEM,CST_LOTEPRO,CODIGO
SYSTEM,CST_ORDEPROD,OPRD_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA
SYSTEM,CST_ORDEPROD,OPRD_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR
SYSTEM,CST_ORDEPROD,OPRD_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,CST_ORDEPROD,OPRD_LTPR_FK,1,LTPR_CODIGO,SYSTEM,CST_LOTEPRO,CODIGO
SYSTEM,CST_ORDEPROD,OPRD_RCTA_FK,1,RCTA_ID,SYSTEM,CST_RECETA,RCTA_ID
SYSTEM,CST_SIMUDETA,DSIM_SIMU_FK,1,SIMU_SIMU_ID,SYSTEM,CST_SIMUCABE,SIMU_ID
SYSTEM,CST_VARIPROD,VARP_VARP_FK,1,VARP_VARP_ID,SYSTEM,CST_VARIPROD,VARP_ID
SYSTEM,ECL_CAMPSCTAS,CMCT_DTFR_FK,1,DTFR_CODICAMP,SYSTEM,ECL_DETAFORMU,CODICAMP
SYSTEM,ECL_CAMPSCTAS,CMCT_DTFR_FK,2,DTFR_CODIGO,SYSTEM,ECL_DETAFORMU,FRML_CODIGO
SYSTEM,ECL_DETAFORMU,DTFR_DTFR_FK,1,DTFR_CODICAMP,SYSTEM,ECL_DETAFORMU,CODICAMP
SYSTEM,ECL_DETAFORMU,DTFR_DTFR_FK,2,DTFR_CODIGO,SYSTEM,ECL_DETAFORMU,FRML_CODIGO
SYSTEM,ECL_DETAFORMU,DTFR_FRML_FK,1,FRML_CODIGO,SYSTEM,ECL_FORMULARIO,CODIGO
SYSTEM,ECL_FORMULARIO,FRML_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,ECT_DETADECLA,DTDC_DTFR_FK,1,DTFR_CODICAMP,SYSTEM,ECL_DETAFORMU,CODICAMP
SYSTEM,ECT_DETADECLA,DTDC_DTFR_FK,2,DTFR_CODIGO,SYSTEM,ECL_DETAFORMU,FRML_CODIGO
SYSTEM,GEN_ESTADOS,EGEN_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO
SYSTEM,GEN_MEDIDOR,MDRS_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO
SYSTEM,GEN_PARAMETRO,PARA_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO
SYSTEM,GEN_PERIPAGO,PRPG_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO
SYSTEM,GEN_REPORTES,REPO_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO
SYSTEM,GEN_SECVARIOS,SVAR_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO
SYSTEM,GEN_TIPOCOMP,TCMP_DTIP_FK,1,DTIP_DTIP_ID,SYSTEM,CNT_DETIPIMP,DTIP_ID
SYSTEM,GEN_TIPOCOMP,TCMP_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO
SYSTEM,GEN_TIPOPROC,TPRO_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,IMP_BACKORDE,BKOR_NTPD_FK,1,NTPD_COMPANIA,SYSTEM,IMP_NOTAPEDI,OFCN_COMPANIA
SYSTEM,IMP_BACKORDE,BKOR_NTPD_FK,2,NTPD_OFICINA,SYSTEM,IMP_NOTAPEDI,OFCN_OFICINA
