OWNER,VIEW_NAME,READ_ONLY,TEXT_LENGTH
MDSYS,USER_SDO_NETWORK_JAVA_OBJECTS,N,171
MDSYS,USER_SDO_NETWORK_LOCKS_WM,N,259
MDSYS,USER_SDO_NETWORK_METADATA,N,1040
MDSYS,USER_SDO_NETWORK_TIMESTAMPS,N,138
MDSYS,USER_SDO_NETWORK_USER_DATA,N,173
MDSYS,USER_SDO_NFE_MODEL_FTLAYER_REL,N,169
MDSYS,USER_SDO_NFE_MODEL_METADATA,N,247
MDSYS,USER_SDO_NFE_MODEL_WORKSPACE,N,252
MDSYS,USER_SDO_SCENES,N,120
MDSYS,USER_SDO_STYLES,N,142
MDSYS,USER_SDO_THEMES,N,153
MDSYS,USER_SDO_TIN_PC_SYSDATA,N,165
MDSYS,USER_SDO_TOPO_INFO,N,494
MDSYS,USER_SDO_TOPO_METADATA,N,658
MDSYS,USER_SDO_VIEWFRAMES,N,137
MDSYS,USER_SDO_3DTHEMES,N,175
MDSYS,USER_SDO_3DTXFMS,N,194
OLAPSYS,ALL$AW_CUBE_ENABLED_HIERCOMBO,N,829
OLAPSYS,ALL$AW_CUBE_ENABLED_VIEWS,N,1027
OLAPSYS,ALL$AW_DIM_ENABLED_VIEWS,N,935
OLAPSYS,ALL$OLAP2_AW_ATTRIBUTES,N,1458
OLAPSYS,ALL$OLAP2_AW_CATALOG_MEASURES,N,987
OLAPSYS,ALL$OLAP2_AW_CATALOGS,N,887
OLAPSYS,ALL$OLAP2_AW_CUBE_AGG_LVL,N,899
OLAPSYS,ALL$OLAP2_AW_CUBE_AGG_MEAS,N,802
OLAPSYS,ALL$OLAP2_AW_CUBE_AGG_OP,N,927
OLAPSYS,ALL$OLAP2_AW_CUBE_AGG_SPECS,N,694
OLAPSYS,ALL$OLAP2_AW_CUBE_DIM_USES,N,1068
OLAPSYS,ALL$OLAP2_AW_CUBE_MEASURES,N,1227
OLAPSYS,ALL$OLAP2_AW_CUBES,N,923
OLAPSYS,ALL$OLAP2_AW_DIMENSIONS,N,926
OLAPSYS,ALL$OLAP2_AW_DIM_HIER_LVL_ORD,N,1037
OLAPSYS,ALL$OLAP2_AW_DIM_LEVELS,N,903
OLAPSYS,ALL$OLAP2_AW_PHYS_OBJ,N,781
OLAPSYS,ALL$OLAP2_AW_PHYS_OBJ_PROP,N,832
ORDDATA,ORDDCM_ANON_ATTRS_USR,Y,137
ORDDATA,ORDDCM_ANON_RULES_USR,Y,124
ORDDATA,ORDDCM_CONFORMANCE_VLD_MSGS,N,148
ORDDATA,ORDDCM_CONSTRAINT_NAMES,Y,109
ORDDATA,ORDDCM_CT_ACTION_USR,Y,91
ORDDATA,ORDDCM_CT_DAREFS_USR,Y,69
ORDDATA,ORDDCM_CT_LOCATORPATHS_USR,Y,121
ORDDATA,ORDDCM_CT_PRED_OPRD_USR,Y,80
ORDDATA,ORDDCM_CT_PRED_PAR_USR,Y,82
ORDDATA,ORDDCM_CT_PRED_SET_USR,Y,121
ORDDATA,ORDDCM_CT_PRED_USR,Y,98
ORDDATA,ORDDCM_DBRELEASE_DOCS,Y,129
ORDDATA,ORDDCM_DICT_ATTRS_USR,Y,76
ORDDATA,ORDDCM_DOC_REFS_USR,Y,106
ORDDATA,ORDDCM_DOCS_USR,Y,111
ORDDATA,ORDDCM_DOCUMENT_REFS,Y,92
ORDDATA,ORDDCM_DOCUMENTS,Y,282
ORDDATA,ORDDCM_DOCUMENT_TYPES,Y,100
ORDDATA,ORDDCM_MAPPED_PATHS_USR,Y,187
ORDDATA,ORDDCM_MAPPING_DOCS_USR,Y,123
ORDDATA,ORDDCM_PRV_ATTRS_USR,Y,170
ORDDATA,ORDDCM_RT_PREF_PARAMS_USR,Y,99
ORDDATA,ORDDCM_STD_ATTRS_USR,Y,153
ORDDATA,ORDDCM_STORED_TAGS_USR,Y,75
ORDDATA,ORDDCM_UID_DEFS_USR,Y,185
ORDSYS,SI_IMAGE_FORMAT_CONVERSIONS,N,216
ORDSYS,SI_IMAGE_FORMAT_FEATURES,N,125
ORDSYS,SI_IMAGE_FORMATS,N,74
ORDSYS,SI_THUMBNAIL_FORMATS,N,81
ORDSYS,SI_VALUES,N,63
SYS,ACLMV$_BASE_VIEW,N,472
SYS,ACLMV$_MVINFO,N,1057
SYS,_ACTUAL_EDITION_OBJ,N,917
SYS,ADBTASK_CLIENT,N,58
SYS,ADBTASK_SCHEDULE,N,507
SYS,ADBTASK_SETTINGS,N,193
SYS,ALL_ALL_TABLES,N,2141
SYS,ALL_ANALYTIC_VIEW_AGGR_DIMS,N,528
SYS,ALL_ANALYTIC_VIEW_AGGR_FNS,N,548
SYS,ALL_ANALYTIC_VIEW_ATTR_CLASS,N,608
SYS,ALL_ANALYTIC_VIEW_BASE_MEAS,N,618
SYS,ALL_ANALYTIC_VIEW_CALC_MEAS,N,532
SYS,ALL_ANALYTIC_VIEW_CLASS,N,538
SYS,ALL_ANALYTIC_VIEW_COLUMNS,N,822
SYS,ALL_ANALYTIC_VIEW_DIM_ATTRS,N,574
SYS,ALL_ANALYTIC_VIEW_DIM_CLASS,N,565
SYS,ALL_ANALYTIC_VIEW_DIMENSIONS,N,756
SYS,ALL_ANALYTIC_VIEW_FACT_COLS,N,548
SYS,ALL_ANALYTIC_VIEW_HIER_CLASS,N,585
SYS,ALL_ANALYTIC_VIEW_HIERS,N,582
SYS,ALL_ANALYTIC_VIEW_KEYS,N,583
SYS,ALL_ANALYTIC_VIEW_LEVEL_CLASS,N,605
SYS,ALL_ANALYTIC_VIEW_LEVELS,N,546
SYS,ALL_ANALYTIC_VIEW_LVLGRPS,N,665
SYS,ALL_ANALYTIC_VIEW_MEAS_CLASS,N,563
