sheet,cell,row,column,source,target_header,reason,label,description
c111,E52,52,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Ammonia/Ethanol/CO2 Control Normal,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E52 (fila 52, columna E/5). Contexto de fila: 'Ammonia/Ethanol/CO2 Control Normal' en B52."
c111,E53,53,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,PreciControl D- Dimer,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E53 (fila 53, columna E/5). Contexto de fila: 'PreciControl D- Dimer' en B53."
c111,E54,54,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,CONSUMIBLES,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E54 (fila 54, columna E/5). Contexto de fila: 'CONSUMIBLES' en A54."
c111,E55,55,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,NaCL 9% cobas c 111,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E55 (fila 55, columna E/5). Contexto de fila: 'NaCL 9% cobas c 111' en B55."
c111,E56,56,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,HAEMOLYSE REAGENT 800T COBAS C111,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E56 (fila 56, columna E/5). Contexto de fila: 'HAEMOLYSE REAGENT 800T COBAS C111' en B56."
c111,E57,57,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,"Activator for cobas c,Integra,c111","Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E57 (fila 57, columna E/5). Contexto de fila: 'Activator for cobas c,Integra,c111' en B57."
c111,E58,58,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,ISE CLEANING SOLUTION  5x100ml,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E58 (fila 58, columna E/5). Contexto de fila: 'ISE CLEANING SOLUTION  5x100ml' en B58."
c111,E59,59,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Cobas Integra Cleaner,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E59 (fila 59, columna E/5). Contexto de fila: 'Cobas Integra Cleaner' en B59."
c111,E60,60,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Micro Cuvette Segment,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E60 (fila 60, columna E/5). Contexto de fila: 'Micro Cuvette Segment' en B60."
c111,E61,61,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Sample cup    250 St,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E61 (fila 61, columna E/5). Contexto de fila: 'Sample cup    250 St' en B61."
