OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,VALIDATED,DEFERRABLE,DEFERRED,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,BAD,INVALID,GENERATED,SEARCH_CONDITION_VC
SYS,SYS_C001307,C,XSTREAM$_HANDLE_COLLISIONS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""TABLE_NAME"" IS NOT NULL"
SYS,SYS_C001308,C,XSTREAM$_HANDLE_COLLISIONS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SOURCE_SCHEMA_NAME"" IS NOT NULL"
SYS,SYS_C001309,C,XSTREAM$_HANDLE_COLLISIONS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SOURCE_TABLE_NAME"" IS NOT NULL"
SYS,SYS_C001310,C,XSTREAM$_HANDLE_COLLISIONS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""HANDLE_COLLISIONS"" IS NOT NULL"
SYS,SYS_C001315,C,XSTREAM$_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""APPLY_NAME"" IS NOT NULL"
SYS,SYS_C001316,C,XSTREAM$_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SRC_OBJ_NAME"" IS NOT NULL"
SYS,SYS_C001317,C,XSTREAM$_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""TGT_OBJ_NAME"" IS NOT NULL"
SYS,SYS_C001293,C,XSTREAM$_PARAMETERS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SERVER_NAME"" IS NOT NULL"
SYS,SYS_C001294,C,XSTREAM$_PARAMETERS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SERVER_TYPE"" IS NOT NULL"
SYS,SYS_C001295,C,XSTREAM$_PARAMETERS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""POSITION"" IS NOT NULL"
SYS,SYS_C001321,C,XSTREAM$_PRIVILEGES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""USERNAME"" IS NOT NULL"
SYS,SYS_C001322,C,XSTREAM$_PRIVILEGES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""PRIVILEGE_TYPE"" IS NOT NULL"
SYS,SYS_C001323,C,XSTREAM$_PRIVILEGES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""PRIVILEGE_LEVEL"" IS NOT NULL"
SYS,SYS_C001298,C,XSTREAM$_REPERROR_HANDLER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""APPLY_NAME"" IS NOT NULL"
SYS,SYS_C001299,C,XSTREAM$_REPERROR_HANDLER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SCHEMA_NAME"" IS NOT NULL"
SYS,SYS_C001300,C,XSTREAM$_REPERROR_HANDLER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""TABLE_NAME"" IS NOT NULL"
SYS,SYS_C001301,C,XSTREAM$_REPERROR_HANDLER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SOURCE_SCHEMA_NAME"" IS NOT NULL"
SYS,SYS_C001302,C,XSTREAM$_REPERROR_HANDLER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SOURCE_TABLE_NAME"" IS NOT NULL"
SYS,SYS_C001303,C,XSTREAM$_REPERROR_HANDLER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""ERROR_NUMBER"" IS NOT NULL"
SYS,SYS_C001304,C,XSTREAM$_REPERROR_HANDLER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""METHOD"" IS NOT NULL"
SYS,SYS_C001281,C,XSTREAM$_SERVER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SERVER_NAME"" IS NOT NULL"
SYS,SYS_C001282,C,XSTREAM$_SERVER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""QUEUE_OWNER"" IS NOT NULL"
SYS,SYS_C001283,C,XSTREAM$_SERVER,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""QUEUE_NAME"" IS NOT NULL"
SYS,SYS_C001311,C,XSTREAM$_SERVER_CONNECTION,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OUTBOUND_SERVER"" IS NOT NULL"
SYS,SYS_C001312,C,XSTREAM$_SERVER_CONNECTION,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""INBOUND_SERVER"" IS NOT NULL"
SYS,SYS_C001284,C,XSTREAM$_SUBSET_RULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SERVER_NAME"" IS NOT NULL"
SYS,SYS_C001285,C,XSTREAM$_SUBSET_RULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""RULES_OWNER"" IS NOT NULL"
SYS,SYS_C001286,C,XSTREAM$_SUBSET_RULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""INSERT_RULE"" IS NOT NULL"
SYS,SYS_C001287,C,XSTREAM$_SUBSET_RULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""DELETE_RULE"" IS NOT NULL"
SYS,SYS_C001288,C,XSTREAM$_SUBSET_RULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""UPDATE_RULE"" IS NOT NULL"
SYS,SYS_C001289,C,XSTREAM$_SYSGEN_OBJS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SERVER_NAME"" IS NOT NULL"
SYS,SYS_C001290,C,XSTREAM$_SYSGEN_OBJS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJECT_OWNER"" IS NOT NULL"
SYS,SYS_C001291,C,XSTREAM$_SYSGEN_OBJS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJECT_NAME"" IS NOT NULL"
