CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,CNT_BALAHIST,BHIS_CCST_FK,2,CCST_OFICINA,SYSTEM,GEN_CENTCOST,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,CNT_BALAHIST,BHIS_CCST_FK,3,CCST_CODIGO,SYSTEM,GEN_CENTCOST,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_BALAHIST,BHIS_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_BALAHIST,BHIS_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_BALAHIST,BHIS_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_BALAHIST,BHIS_MONE_FK,1,MONE_MONEDA,SYSTEM,GEN_MONEDA,MONEDA,NO ACTION,ENABLED
SYSTEM,CNT_CATALOGO,CTLG_CTLG_FK,1,CTLG_COMPANIA,SYSTEM,CNT_CATALOGO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_CATALOGO,CTLG_CTLG_FK,2,CTLG_CATALOGO,SYSTEM,CNT_CATALOGO,CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_COSUSSEC,CMSS_SCTR_FK,1,SCTR_SECUTRAN,SYSTEM,CNT_SECUTRAN,SECUTRAN,NO ACTION,ENABLED
SYSTEM,CNT_COSUSSEC,CMSS_STCM_FK,1,STCM_SUSTENTO,SYSTEM,CNT_SUSTCOMP,SUSTENTO,NO ACTION,ENABLED
SYSTEM,CNT_COSUSSEC,CMSS_TPCM_FK,1,TPCM_TIPOCOMP,SYSTEM,CNT_TIPOCOMP,TIPOCOMP,NO ACTION,ENABLED
SYSTEM,CNT_CTASBALA,CCA_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_CTASBALA,CCA_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_CTASBALA,CCA_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_CTASBALA,CCA_MONE_FK,1,MONE_MONEDA,SYSTEM,GEN_MONEDA,MONEDA,NO ACTION,ENABLED
SYSTEM,CNT_CUENTAS,CTAS_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_CUENTAS,CTAS_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_CUENTAS,CTAS_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_CUENTAS,CTAS_CTLG_FK,1,CTLG_COMPANIA,SYSTEM,CNT_CATALOGO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_CUENTAS,CTAS_CTLG_FK,2,CTLG_CATALOGO,SYSTEM,CNT_CATALOGO,CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_CUENTAS,CTAS_TCTA_FK,1,TCTA_TIPOCTA,SYSTEM,CNT_TIPOCUENTA,TIPOCTA,NO ACTION,ENABLED
SYSTEM,CNT_DEASIECONS,DASC_ASCO_FK,1,ASCO_NUMERESU,SYSTEM,CNT_ASIECONS,NUMERESU,CASCADE,ENABLED
SYSTEM,CNT_DEASIECONS,DASC_ASCO_FK,2,ASCO_COMPANIA,SYSTEM,CNT_ASIECONS,CMPN_COMPANIA,CASCADE,ENABLED
SYSTEM,CNT_DEASIECONS,DASC_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DEASIECONS,DASC_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_DEASIECONS,DASC_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CAFJ_FK,1,CAFJ_CLASE,SYSTEM,AFJ_CLASACTI,CLASE,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CAFJ_FK,2,CAFJ_COMPANIA,SYSTEM,AFJ_CLASACTI,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CCLI_FK,1,CCLI_CLASE,SYSTEM,CLI_CLASCLIE,CLASE,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CCLI_FK,2,CCLI_COMPANIA,SYSTEM,CLI_CLASCLIE,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CINV_FK,1,CINV_COMPANIA,SYSTEM,ALM_CLASINVE,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CINV_FK,2,CINV_CLASE,SYSTEM,ALM_CLASINVE,CLASE,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CPRO_FK,1,CPRO_COMPANIA,SYSTEM,PAG_CLASPROV,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CPRO_FK,2,CPRO_CLASE,SYSTEM,PAG_CLASPROV,CLASE,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_DFRL_FK,1,DFRL_TIPO,SYSTEM,RHH_DEFINROL,TIPO,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_INCN_FK,1,INCN_COMPANIA,SYSTEM,CNT_INTECONT,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_INCN_FK,2,INCN_PRODUCTO,SYSTEM,CNT_INTECONT,PRDT_PRODUCTO,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_INCN_FK,3,INCN_TIPODOCU,SYSTEM,CNT_INTECONT,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_INCN_FK,4,INCN_CODITRAN,SYSTEM,CNT_INTECONT,CODITRAN,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_TPPR_FK,1,TPPR_CODIPROV,SYSTEM,RHH_TIPOPROV,CODIPROV,NO ACTION,ENABLED
SYSTEM,CNT_DEINTECONT,DTIC_TRIN_FK,1,TRIN_CODITRAN,SYSTEM,CNT_TRANINTE,CODITRAN,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,CASCADE,DISABLED
SYSTEM,CNT_DETASIENTO,DAST_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,CASCADE,DISABLED
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,1,CCST_COMPANIA,SYSTEM,GEN_CENTCOST,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,2,CCST_OFICINA,SYSTEM,GEN_CENTCOST,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,3,CCST_CODIGO,SYSTEM,GEN_CENTCOST,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
