OWNER,TABLE_NAME,CONSTRAINT_NAME,POSITION,COLUMN_NAME
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_PK,2,CLEVELID#
SYSTEM,MVIEW$_ADV_ROLLUP,MVIEW$_ADV_ROLLUP_PK,3,PLEVELID#
SYSTEM,MVIEW$_ADV_WORKLOAD,MVIEW$_ADV_WORKLOAD_PK,1,QUERYID#
SYSTEM,ORT_DEORDTRA,DTOT_PK,1,DTOT_ID
SYSTEM,ORT_REGILLAM,RGLL_PK,1,RGLL_ID
SYSTEM,ORT_TIPODANI,TPDN_PK,1,TPDN_ID
SYSTEM,ORT_TIPOEQUI,TPEQ_PK,1,TPEQ_ID
SYSTEM,ORT_TIPOMARC,TPMR_PK,1,TPMR_ID
SYSTEM,ORT_TIPOORDN,TPOT_PK,1,TIPO
SYSTEM,ORT_UBICESTA,UBES_PK,1,UBES_ID
SYSTEM,PAG_ANTICIPO,ANTP_PK,1,ANTP_ID
SYSTEM,PAG_CLASPROV,CPRO_PK,1,CMPN_COMPANIA
SYSTEM,PAG_CLASPROV,CPRO_PK,2,CLASE
SYSTEM,PAG_CRUCEANT,CANP_PK,1,CANP_ID
SYSTEM,PAG_DETAPAGO,DPAG_PK,1,DPAG_ID
SYSTEM,PAG_OTRSCTAS,OTRS_PK,1,OTRS_ID
SYSTEM,PRD_CALMATPR,CLMP_PK,1,CLMP_ID
SYSTEM,PRD_TIPOCALI,TPCD_PK,1,TIPO
SYSTEM,PRT_ABONCAPI,ABCA_PK,1,ABCA_ID
SYSTEM,PRT_ANEXCUAD,ACRM_PK,1,PRTM_COMPANIA
SYSTEM,PRT_ANEXCUAD,ACRM_PK,2,PRTM_OFICINA
SYSTEM,PRT_ANEXCUAD,ACRM_PK,3,PRTM_TIPODOCU
SYSTEM,PRT_ANEXCUAD,ACRM_PK,4,PRTM_NUMERO
SYSTEM,PRT_ANEXCUAD,ACRM_PK,5,FECHA
SYSTEM,PRT_ANEXCUAD,ACRM_PK,6,NUMECUOT
SYSTEM,PRT_APROPCREDI,ACRE_PK,1,ACRE_ID
SYSTEM,PRT_BALAGRUP,PBLG_PK,1,PCCL_CODIGRUP
SYSTEM,PRT_BALAGRUP,PBLG_PK,2,PCCL_CICLO
SYSTEM,PRT_BALAGRUP,PBLG_PK,3,PCTS_CODIGO
SYSTEM,PRT_BANDAS,BANP_PK,1,CODIGO
SYSTEM,PRT_CARGO,PCRG_PK,1,TIPO
SYSTEM,PRT_CATERIES,PCTR_PK,1,PTRG_CODIGO
SYSTEM,PRT_CATERIES,PCTR_PK,2,PRTC_TIPOCRED
SYSTEM,PRT_CATERIES,PCTR_PK,3,FECHA
SYSTEM,PRT_CICLOS,PCCL_PK,1,GPCM_CODIGRUP
SYSTEM,PRT_CICLOS,PCCL_PK,2,CICLO
SYSTEM,PRT_CLASCAPI,CCPT_PK,1,TIPOCAPI
SYSTEM,PRT_CTABANCARIA,PCBN_PK,1,PCTS_CODIGO
SYSTEM,PRT_CTABANCARIA,PCBN_PK,2,GPCM_CODIGRUP
SYSTEM,PRT_CTASBALA,PRT_PK,1,PRT_ID
SYSTEM,PRT_CUENTAS,PCTS_PK,1,CODIGO
SYSTEM,PRT_DESTIFINAN,PRDF_PK,1,DESTFINA
SYSTEM,PRT_DETASIENTO,PDAS_PK,1,PDAS_ID
SYSTEM,PRT_DETASOLI,PDSL_PK,1,PDSL_ID
SYSTEM,PRT_DETIPCAU,DCSL_PK,1,DCSL_ID
SYSTEM,PRT_ESTAOPER,EOPE_PK,1,ESTAOPER
SYSTEM,PRT_FORMCANC,PRFC_PK,1,FORMCANC
SYSTEM,PRT_GRUPOSCOM,GPCM_PK,1,CODIGRUP
SYSTEM,PRT_MADUCRED,MCRE_PK,1,MCRE_ID
SYSTEM,PRT_MIEMBROS,MBGR_PK,1,GPCM_CODIGO
SYSTEM,PRT_MIEMBROS,MBGR_PK,2,NUMERO
SYSTEM,PRT_ORIGRECU,PROR_PK,1,ORIGRECU
SYSTEM,PRT_PARARANG,PPRG_PK,1,BANDA
SYSTEM,PRT_PARARANG,PPRG_PK,2,PRTC_TIPOCRED
SYSTEM,PRT_PARARANG,PPRG_PK,3,CCPT_TIPOCAPI
SYSTEM,PRT_PRESTAMOS,PRTM_PK,1,OFCN_COMPANIA
SYSTEM,PRT_PRESTAMOS,PRTM_PK,2,OFCN_OFICINA
SYSTEM,PRT_PRESTAMOS,PRTM_PK,3,TPDC_TIPODOCU
SYSTEM,PRT_PRESTAMOS,PRTM_PK,4,NUMERO
SYSTEM,PRT_RECARGOS,RCCR_PK,1,RCCR_ID
SYSTEM,PRT_SIMUCRED,SMCR_PK,1,SMCR_ID
SYSTEM,PRT_SIMUDETA,SDET_PK,1,SDET_ID
SYSTEM,PRT_SOLIGRUP,PSLG_PK,1,NUMERO
SYSTEM,PRT_TASAREFEN,TREF_PK,1,FECHA
SYSTEM,PRT_TASAREFEN,TREF_PK,2,PRTT_TIPOTASA
SYSTEM,PRT_TASAREFEN,TREF_PK,3,MONE_MONEDA
SYSTEM,PRT_TASAREFEN,TREF_PK,4,TPDC_TIPODOCU
SYSTEM,PRT_TASAREFEN,TREF_PK,5,PRTC_TIPOCRED
SYSTEM,PRT_TASAREFEN,TREF_PK,6,DIASDESD
SYSTEM,PRT_TEMPREPO,TMPR_PK,1,TMPR_ID
SYSTEM,PRT_TIPOCAUSAL,TCSL_PK,1,TIPCASUA
SYSTEM,PRT_TIPOCREDI,PRTC_PK,1,TIPOCRED
SYSTEM,PRT_TIPOPERA,PRTO_PK,1,TIPOPER
SYSTEM,PRT_TIPORECA,TREC_PK,1,CODIGAST
SYSTEM,PRT_TIPORIES,PTRG_PK,1,CODIGO
SYSTEM,PRT_TIPOTASA,PRTT_PK,1,TIPOTASA
SYSTEM,PRT_TRANSBANCA,PTBN_PK,1,NUMEOPER
SYSTEM,PRT_TRANSINDIV,TIND_PK,1,RBAN_RBAN_ID
SYSTEM,PRT_TRANSINDIV,TIND_PK,2,NUMERO
SYSTEM,PRT_TRANSINDIV,TIND_PK,3,TPDC_TIPODOCU
SYSTEM,PRT_VENCIDOS,CVEN_PK,1,PRTM_COMPANIA
SYSTEM,PRT_VENCIDOS,CVEN_PK,2,PRTM_OFICINA
SYSTEM,PRT_VENCIDOS,CVEN_PK,3,PRTM_TIPODOCU
SYSTEM,PRT_VENCIDOS,CVEN_PK,4,PRTM_NUMERO
SYSTEM,PRT_VENCIDOS,CVEN_PK,5,NUMECUOT
SYSTEM,PRT_VENCIDOS,CVEN_PK,6,FECHA
SYSTEM,PRT_ZONAS,PZNS_PK,1,CODIZONA
SYSTEM,REPL_SUPPORT_MATRIX,REPL_SUPPORT_MATRIX_PK,1,BMAP1
SYSTEM,REPL_SUPPORT_MATRIX,REPL_SUPPORT_MATRIX_PK,2,BMAP2
SYSTEM,REPL_SUPPORT_MATRIX,REPL_SUPPORT_MATRIX_PK,3,REPL_PRODUCT
SYSTEM,REPL_SUPPORT_MATRIX,REPL_SUPPORT_MATRIX_PK,4,SUPPORT_MODE
SYSTEM,RHH_ACTIFIJA,ACFIA_PK,1,ACFIA_ID
SYSTEM,RHH_ADICIONALES,ADIC_PK,1,ADIC_ID
SYSTEM,RHH_ALCACOMI,ALCM_PK,1,CLCM_CODIGO
SYSTEM,RHH_ALCACOMI,ALCM_PK,2,ARTL_COMPANIA
SYSTEM,RHH_ALCACOMI,ALCM_PK,3,ARTL_CLASE
SYSTEM,RHH_ALCACOMI,ALCM_PK,4,ARTL_CODIGRUP
SYSTEM,RHH_ALCACOMI,ALCM_PK,5,ARTL_ARTICULO
SYSTEM,RHH_AUDPROV,APVA_PK,1,APVA_ID
SYSTEM,RHH_BIOMETRI,RHBM_PK,1,RHHS_CEDURUC
SYSTEM,RHH_CARGFAMI,CGFM_PK,1,CGFM_ID
SYSTEM,RHH_CLACCOMI,CLCM_PK,1,CODIGO
SYSTEM,RHH_COMIGENE,CMGN_PK,1,CMGN_ID
SYSTEM,RHH_CONTCARG,CNCR_PK,1,CNCR_ID
SYSTEM,RHH_CREDITOS,CRED_PK,1,CRED_ID
SYSTEM,RHH_CTABANEM,CTAE_PK,1,CTAE_ID
SYSTEM,RHH_DEFINROL,DFRL_PK,1,TIPO
SYSTEM,RHH_DEPARTAM,DEPT_PK,1,OFCN_COMPANIA
SYSTEM,RHH_DEPARTAM,DEPT_PK,2,OFCN_OFICINA
SYSTEM,RHH_DEPARTAM,DEPT_PK,3,CODIDEPA
SYSTEM,RHH_DEPTASIG,DPAS_PK,1,DPAS_ID
SYSTEM,RHH_DEPTCONTA,DCNT_PK2,1,CODIGO
SYSTEM,RHH_DETAPRES,DPRS_PK,1,DPRS_ID
SYSTEM,RHH_DETAVENC,CUOTAS_PK,1,CUOTAS_ID
SYSTEM,RHH_DIMENSION,DIME_PK,1,ROL_CARGO
SYSTEM,RHH_DIMENSION,DIME_PK,2,VNDR_COMPANIA
SYSTEM,RHH_DIMENSION,DIME_PK,3,VNDR_OFICINA
SYSTEM,RHH_DIMENSION,DIME_PK,4,VNDR_CODIGO
SYSTEM,RHH_DISCAPAC,DSCP_PK,1,DSCP_ID
SYSTEM,RHH_EMPLCENT,EMCE_PK,1,EMCE_ID
SYSTEM,RHH_ESTUDIOS,ESTU_PK,1,ESTU_ID
SYSTEM,RHH_FRECUAENCIAS,FRCS_PK,1,TIEMPODIAS
SYSTEM,RHH_FUNCIONES,FNCI_PK,1,CODIGO
SYSTEM,RHH_GASTPERS,GSPR_PK,1,RHHS_CEDURUC
SYSTEM,RHH_GASTPERS,GSPR_PK,2,TPGS_CODIGAST
SYSTEM,RHH_GASTPERS,GSPR_PK,3,ANIOFISC
